http://movie.douban.com/subject/5265188/	别对我说谎
(4星)	 ①只因李念。②电视剧还是很有看头的。③唯独剧名让我囧。            
(2星)	 周龙山，我再问一遍，我是不是你妹妹！！——这妹子太喜感了，摔了好几个花瓶。            
(3星)	 李念的装扮蛮好看的。沈晓海的现代戏好过古代戏。            
(1星)	 集烂片之精华            
(3星)	None
(NA)	 看了两集果断看不下去。扯淡电视。律师干警察的活。演技差，编剧无力。            
(3星)	 翻了一遍各大卫视半夜档电视剧，就这个还看得下去。            
(2星)	 这片挺二的 11年暑假回国跟着姥姥看了两眼            
(1星)	None
(2星)	 假不假            
(2星)	 台词做作，演员演技不到位，把律师当成不拿工资的警察。最后结局的发布会，还说要和谐，真是从头到尾都不放过大家啊。这电视剧的名字就像在讽刺这个电视剧本身一样。            
(3星)	 总体来说还行，倒数第二个案子看得我纠结死——另外，警察和检察院太傻X了            
(2星)	 10天欧洲行，看部狗血剧            
(1星)	 导演又没水平又没钱，有点佩服导演挑演员的水平，能把这么一大堆不合格的演员凑在一块也够呛，看不下去了。。。。公道点说演宋老板的老演员还算过关，海藻可能还只能停留在本色出演的水平。男主角诠释角色的能力太弱。            
(1星)	 片名，阿弥陀佛，山寨山寨。冲李念来的回去吧，会很失望。            
(3星)	 没意思            
(4星)	 发型真的是蛮重要的，李念没有在蜗居好看，长发清纯又漂亮            
(2星)	 好吧 这不是律师 是警察            
(3星)	 片儿还可以，有些粗糙，有些演的发力过猛变成歇斯底里，还有许的案子里女主原谅的太快了吧            
